,Methodology Maxim Acceptance,,,,,,Subjective Norm,,,,Perceived Usefulness,,,,,Mandatoriness ,,,,Comptability,,,,External Support,,,,Single Item,Single Item,Latent,Latent
Identifier,Agile_Val_P,Sys_Think,Lean,Transparency,Cont_Improve,Decent_Decision,Peer,Supervisor,Trade_Pub,Prof_Org,Soft_Qual,Deliv_Time,Lower_Cost,Cust_Satisf,Team_Satisf,Compulsory,Required,Explicit_Pol,Strong_Pref,Way_Dev,Handle_Large,Recon_Stake,Spec_Inst,Coaching,Net_Support,Help_Res,Resp_Change,Experience,LogOrg,Compatibility_Latent,Perceived Usefulness_Latent
ID,ACC_1,ACC_2,ACC_3,ACC_4,ACC_5,ACC_6,SNO_1,SNO_2,SNO_3,SNO_4,PUF_1,PUF_2,PUF_3,PUF_4,PUF_5,MND_1,MND_2,MND_3,MND_4,CMT_1,CMT_2,CMT_3,CMT_4,EBS_1,EBS_2,EBS_3,EBS_4,EXP,ORG,0.68,1.185
1,7,7,7,7,7,7,7,7,4,4,7,7,7,7,7,5,5,5,7,7,7,5,7,7,7,7,7,10,2.7,-0.991,0.004
2,6,6,6,6,6,6,6,4,2,4,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,5,5,4,-2.089,0.004
3,6,6,6,7,7,6,7,7,4,4,6,6,6,6,6,6,4,6,5,4,4,4,6,6,6,6,4,23,3.08,-2.089,1.185
4,5,6,5,5,6,6,4,4,4,4,7,7,7,7,7,6,6,7,7,4,4,4,7,7,7,7,4,7,2.48,0.39,0.25
5,5,6,6,6,7,5,7,5,7,6,6,7,6,5,7,7,7,5,6,7,6,5,6,7,7,5,7,12,1.52,0.386,0.258
6,7,7,6,6,6,7,7,6,7,7,6,7,6,6,6,6,6,7,6,7,6,6,7,7,5,6,6,5,3.08,0.107,-0.198
7,3,3,4,4,3,4,5,6,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,3.3,0.665,0.249
8,7,5,6,7,7,5,4,7,5,5,5,6,6,7,7,7,6,5,7,6,7,6,7,7,6,5,7,12,3.99,0.096,-0.234
9,6,6,6,5,5,6,6,6,7,6,6,6,6,6,5,5,6,5,6,5,6,6,5,6,6,6,7,5,3.4,0.66,0.946
10,7,7,6,7,7,6,6,6,7,7,7,7,7,7,6,6,7,5,7,6,7,7,6,7,7,7,6,7,0.9,0.66,0.691
11,6,5,6,5,5,5,7,7,6,6,6,6,7,7,7,7,6,7,6,6,7,7,6,6,7,7,6,10,2.4,-1.532,-1.619
12,4,5,5,4,4,4,4,5,3,3,4,5,4,5,5,4,4,4,4,4,5,4,4,4,5,5,5,6,4.95,-0.434,-0.438
