No,Gender,Marital status,Age,Education,Position,AC1,AC2,AC3,AC4,AC5,AC6,CC1,CC2,CC3,CC4,CC5,CC6,NC1,NC2,NC3,NC4,NC5,NC6,OCB1,OCB2,OCB3,OCB4,OCB5,OCB6,OCB7,OCB8,JP1,JP2,JP3,JP4
1,Male,Married,36-45,University,Manager/Leader,5,5,5,4,5,4,5,5,6,6,6,7,5,5,4,5,6,5,5,6,5,5,5,5,5,5,6,5,5,4
2,Male,Married,36-45,University,Manager/Leader,4,4,4,3,4,4,4,5,6,6,6,6,6,6,4,6,6,6,6,6,5,6,6,6,5,6,5,5,6,6
3,Male,Married,36-45,University,Employee,3,3,3,3,2,2,6,6,6,6,6,6,7,6,5,3,6,6,6,6,6,6,1,1,6,2,7,6,6,4
4,Female,Married,25-35,High School,Chief/Deputy Chief of Staff,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6
5,Female,Married,25-35,High School,Manager/Leader,3,3,3,3,3,3,3,4,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,5,5,4,4
6,Male,Married,>55,Master,Worker,3,5,5,5,3,7,3,3,3,3,5,3,5,5,5,3,5,6,4,5,5,5,3,5,6,5,5,4,3,6
7,Male,Married,36-45,College,Manager/Leader,5,5,5,4,4,4,4,4,5,5,5,5,3,3,4,5,4,5,6,6,6,6,6,6,6,6,5,5,4,5
8,Male,Married,46-55,University,Worker,5,4,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,5,5,5,5,5,4,4,5
9,Male,Married,36-45,University,Employee,5,5,6,5,5,4,6,6,6,6,6,6,5,5,5,5,5,5,6,6,5,5,5,5,6,4,5,6,6,5
10,Female,Married,25-35,High School,Chief/Deputy Chief of Staff,6,6,6,5,5,4,6,5,5,4,5,5,4,4,6,6,4,6,5,5,5,5,5,5,5,5,6,5,5,5
11,Male,Married,46-55,University,Worker,4,4,4,3,4,4,4,4,4,4,4,5,5,5,5,6,6,6,5,6,6,6,4,4,5,5,6,6,5,3
12,Male,Married,46-55,University,Worker,4,4,4,4,3,3,3,2,1,4,4,4,4,3,2,2,3,2,4,5,4,4,4,4,3,5,3,4,2,3
13,Female,Married,25-35,High School,Chief/Deputy Chief of Staff,6,6,6,6,5,6,6,5,7,7,7,7,6,6,6,6,6,6,5,7,4,6,6,6,6,5,6,6,7,6
14,Male,Married,36-45,College,Manager/Leader,4,5,5,4,3,4,5,5,5,5,5,5,5,6,5,5,5,6,6,6,6,6,6,6,6,6,3,5,4,3
15,Male,Married,36-45,University,Employee,6,6,6,6,6,6,6,6,7,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,5
16,Male,Married,36-45,College,Manager/Leader,3,3,3,3,2,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,5,3,4,1,3,3,2
17,Male,Married,>55,Master,Worker,6,6,5,5,6,5,5,4,5,5,4,4,5,5,6,5,4,4,5,5,5,6,5,5,6,5,6,6,5,5
18,Male,Married,36-45,College,Manager/Leader,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6
19,Male,Married,46-55,University,Worker,6,6,5,5,5,5,7,7,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7
20,Male,Married,36-45,College,Manager/Leader,5,5,5,5,5,5,5,6,6,6,6,6,5,4,3,3,2,4,4,6,4,4,4,2,2,2,4,4,4,6
21,Male,Married,25-35,College,Manager/Leader,5,6,5,5,6,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22,Female,Married,25-35,High School,Chief/Deputy Chief of Staff,6,6,6,6,6,6,4,4,4,5,5,5,4,3,7,7,7,2,6,6,6,6,6,6,6,6,6,6,6,6
23,Male,Married,36-45,University,Manager/Leader,3,4,4,4,3,4,6,6,6,6,6,6,5,5,5,3,4,5,4,5,4,4,5,5,4,5,4,4,4,4
24,Female,Married,25-35,High School,Chief/Deputy Chief of Staff,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,7,7,7,7,5,6,5,5
25,Female,Married,25-35,High School,Manager/Leader,6,6,5,6,4,4,3,3,5,2,3,5,7,5,7,6,5,6,4,5,2,5,3,6,3,5,7,3,5,5
26,Female,Married,25-35,High School,Chief/Deputy Chief of Staff,6,6,7,5,4,6,5,4,5,6,4,6,5,6,7,7,6,7,7,7,7,6,7,6,6,6,5,4,5,7
27,Male,Married,46-55,University,Worker,7,7,7,7,7,7,5,6,6,6,4,5,7,5,7,7,7,7,7,7,7,7,4,5,6,6,7,7,7,7
28,Male,Married,36-45,University,Manager/Leader,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,7,6,7,5,1,6,5,7,6,6,6
29,Male,Married,36-45,University,Employee,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,1,1,1,7,7,7,7,7
30,Male,Married,36-45,University,Manager/Leader,6,6,5,5,6,6,5,6,5,6,6,6,5,5,5,6,6,6,6,6,5,6,5,5,5,5,6,5,5,5
31,Male,Married,46-55,University,Worker,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,5,5,5,5,2,2,3,3,5,5,6,4
32,Female,Married,25-35,High School,Chief/Deputy Chief of Staff,3,4,4,5,5,4,4,5,5,6,5,5,4,4,5,4,4,5,5,6,6,6,3,6,5,6,5,5,5,5
