DS1	DS2	DS3	DT1	DT2	DT3	DT4	OA1	OA2	OA3	SEN1	SEN2	SEN3	SEZ1	SEZ2	SEZ3	TRA1	TRA2	TRA3	PER1	PER2	PER3	PER4	PER5
5	5	5	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3
5	5	5	5	5	5	4	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4	4	5	3	4	3	4	3	4	4	4	3	4	4	3
4	5	4	4	3	4	4	5	5	4	4	4	4	4	4	4	5	5	5	4	3	3	3	3
3	3	3	4	3	4	4	4	3	3	3	3	3	3	3	3	3	4	4	3	4	3	3	3
5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4
4	4	4	4	4	4	4	5	3	4	4	3	3	4	4	4	4	4	3	4	4	4	3	3
3	3	4	4	3	4	4	4	4	4	4	4	3	3	3	3	3	3	3	4	2	3	3	3
4	3	4	3	3	4	4	4	4	4	3	4	4	4	3	4	3	4	4	3	2	3	3	3
4	3	3	4	3	4	4	4	4	4	5	3	3	3	4	3	4	4	4	3	3	3	4	3
4	4	4	3	3	4	4	4	4	4	4	3	4	3	3	3	4	4	3	3	3	3	3	3
4	5	4	5	5	5	4	5	5	5	5	4	4	4	5	3	4	5	3	5	4	4	4	3
3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3	2	2	2	2
5	5	5	4	4	4	4	5	5	5	4	4	3	4	4	4	5	5	4	4	3	3	3	3
4	4	4	4	5	4	4	3	4	4	4	4	2	3	3	4	4	5	5	4	4	4	3	3
3	3	4	3	3	3	3	4	4	4	3	4	3	4	4	4	4	3	4	2	1	1	2	3
4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3	4	4	3	3	3	2	3
5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
1	2	4	3	3	3	3	2	4	4	3	2	4	4	4	4	4	4	4	2	2	3	2	1
4	5	5	4	4	4	4	5	4	2	2	2	2	2	2	2	2	2	2	4	3	3	3	3
4	3	4	5	4	4	4	3	4	4	4	3	3	3	3	3	3	3	3	3	4	3	3	4
5	4	5	4	4	4	4	4	5	4	4	4	3	4	4	4	3	4	4	4	4	4	4	4
5	5	5	4	3	4	4	3	4	4	3	5	3	4	3	3	5	4	3	3	4	4	4	3
4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4
5	5	5	4	4	3	4	5	5	5	5	5	5	5	5	5	5	4	4	4	3	3	4	4
3	3	3	3	3	3	3	4	4	4	4	3	4	3	4	3	3	4	4	2	2	2	2	3
5	5	5	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3
5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5	5	4	5	4	5	5	4	3
5	5	5	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	3	3	3
4	4	4	3	3	3	3	5	5	4	4	5	4	4	4	5	4	2	4	1	3	3	1	2
4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	3	4
4	4	4	4	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3
4	4	4	5	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4
4	4	4	5	4	4	4	5	5	5	4	4	2	4	4	4	4	3	4	4	4	4	3	4
