order_id,year,month,quarter,supplier_id,supplier_type,transport_mode,product_complexity,order_qty_units,shock_event,regulatory_intensity,crit_dep_index,supplier_delay_rate,inbound_damage_rate,storage_loss_rate,process_rework_trigger_rate,distribution_delay_rate,stockout_rate,supplier_audit_score,monitoring_frequency_per_month,contingency_maturity_likert,collaboration_index,traceability_completeness,data_accuracy,inspection_coverage,unit_cost_cop,unit_cost_sd_cop,cost_var_metric,no_quality_cost_cop,scrap_rate,rework_rate,noq_metric,margin_pct,breakeven_units,on_time_delivery,cycle_time_hours,cycle_time_hours_inv,nonconformity_rate,RiskIndex,SCRM_Practices,TraceIndex,cluster
ORDR-0001,2025,9,3,18,internacional,aereo,1,175,0,0.046,0.341,0.157,0.032,0.037,0.068,0.101,0.162,100,13,4,0.811,0.939,0.92,0.92,93897,1000,0.01,0,0.0103,0.0282,0.0,38.0,897,0.833,13.13,0.4179,2.68,0.2697,0.7183,0.944,4
ORDR-0002,2025,12,4,4,internacional,terrestre,3,109,0,0.125,0.422,0.201,0.015,0.047,0.153,0.201,0.073,100,6,3,0.681,0.626,0.471,0.339,206957,5665,0.0274,10806,0.0,0.0912,0.0591,29.36,527,0.962,32.9,0.0188,0.33,0.356,0.4316,0.4597,1
ORDR-0003,2024,11,4,18,internacional,terrestre,1,101,0,0.049,0.249,0.22,0.089,0.033,0.115,0.159,0.164,100,9,4,0.568,0.382,0.281,0.233,85000,11463,0.1349,3715,0.0096,0.0575,0.0387,27.21,1200,0.874,8.15,0.8244,6.12,0.443,0.5499,0.2696,1
ORDR-0004,2025,9,3,7,internacional,terrestre,3,211,0,0.084,0.39,0.351,0.089,0.076,0.237,0.259,0.244,100,12,4,0.318,0.318,0.305,0.273,234624,43506,0.1854,27006,0.0562,0.126,0.1298,14.83,920,0.73,28.75,0.0571,6.96,0.7973,0.5313,0.2711,3
ORDR-0005,2024,4,2,7,nacional,terrestre,1,252,0,0.647,0.376,0.29,0.111,0.074,0.245,0.199,0.234,100,11,3,0.711,0.324,0.695,0.784,131497,16139,0.1227,8077,0.0663,0.0926,0.0564,31.3,777,0.763,13.61,0.3947,12.1,0.7546,0.5503,0.6031,2
ORDR-0006,2025,12,4,10,nacional,terrestre,2,286,0,0.349,0.286,0.223,0.043,0.064,0.131,0.198,0.134,100,4,4,0.236,0.319,0.669,0.485,134377,22862,0.1701,0,0.0236,0.0506,0.0,26.79,889,0.791,21.69,0.1559,10.98,0.463,0.33,0.4788,1
ORDR-0007,2025,7,3,2,nacional,terrestre,1,147,0,0.119,0.275,0.23,0.049,0.029,0.183,0.097,0.099,100,17,4,0.874,0.646,0.79,0.904,85000,1000,0.01,4894,0.0241,0.0817,0.0531,33.03,1140,0.963,12.89,0.4304,0.0,0.3512,0.8263,0.7921,4
ORDR-0008,2025,8,3,8,nacional,terrestre,3,171,0,0.315,0.603,0.334,0.119,0.07,0.243,0.212,0.22,100,16,4,0.8,0.587,0.549,0.642,233724,36434,0.1559,22680,0.0491,0.1247,0.0996,25.13,545,0.832,32.67,0.0207,10.9,0.7776,0.7798,0.5885,2
ORDR-0009,2025,11,4,15,nacional,terrestre,2,165,0,0.079,0.374,0.285,0.077,0.067,0.234,0.221,0.283,100,13,5,0.47,0.589,0.589,0.629,157126,28806,0.1833,6540,0.0327,0.1084,0.0383,24.54,830,0.742,21.19,0.1652,9.46,0.7264,0.695,0.5982,2
ORDR-0010,2025,5,2,15,nacional,terrestre,2,233,0,0.057,0.565,0.358,0.131,0.074,0.232,0.271,0.277,100,11,2,0.225,0.137,0.194,0.103,152494,31465,0.2063,21781,0.0742,0.1348,0.1443,14.03,1200,0.729,23.29,0.1282,13.95,0.8799,0.2964,0.1059,3
