Generation,OJ1,OJ2,OJ3,OJ4,OJ5,OJ6,POS1,POS2,POS3,POS4,POS5,JE1,JE2,JE3,JE4,JE5,JE6,JE7,TI1,TI2,TI3
1,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,2,2
1,5,4,4,4,4,5,4,4,4,5,4,5,4,4,4,4,4,4,1,2,2
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,1,1
2,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,1,1,1
2,5,4,5,5,4,4,4,5,5,4,4,5,4,4,4,5,5,5,2,1,3
2,4,4,4,5,5,4,4,4,4,5,4,5,5,5,5,5,5,4,1,3,2
2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,2,1,1
2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,1,1,1
2,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,2,2,2
2,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,1,1
2,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,1,1,1
2,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,2,1,1
2,4,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,2,2,1
2,2,3,3,3,2,1,3,3,4,3,4,3,4,4,3,2,3,4,3,3,2
1,4,5,5,5,5,5,4,4,4,4,4,5,4,5,5,5,4,4,1,1,1
2,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,2,1,1
2,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
1,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,2,2,2
1,5,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,1,1,2
1,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,2,2,2
1,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,2,1,2
2,4,5,4,5,5,4,5,5,5,5,5,5,4,5,4,4,4,5,2,1,1
2,4,4,4,5,5,5,4,4,4,4,4,4,4,4,5,4,5,4,2,2,1
2,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,1,1,2
2,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,5,5,4,1,1,1
2,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,4,4,5,1,1,1
2,4,5,4,4,5,4,4,4,3,3,4,4,4,4,5,5,4,5,1,2,2
2,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,4,4,4,1,1,1
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2
1,4,4,4,4,5,5,4,4,3,4,4,5,5,5,5,5,5,5,2,2,2
1,4,4,3,3,4,4,4,5,4,4,4,4,4,5,5,4,4,4,2,2,2
1,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,2,2,2
1,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
1,5,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,3,4
1,5,4,5,4,5,5,4,4,4,5,4,5,5,4,5,5,5,5,1,2,2
1,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,1,1
1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
2,5,4,5,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,1,1,1
2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2
2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,5,5,1,3,1
2,3,3,2,2,3,2,4,4,4,4,4,4,4,4,5,5,4,4,1,3,3
1,4,4,5,4,4,5,5,5,4,5,4,5,5,5,5,5,5,5,1,1,1
1,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,3,4,3,2,2
2,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,2,2,2
1,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,1,1,1
1,4,4,4,4,4,4,4,4,5,4,5,3,4,3,4,4,4,4,3,2,2
2,5,5,4,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,2,2,2
2,4,4,4,4,4,4,5,4,4,5,4,4,4,4,5,5,5,5,1,2,2
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
1,4,4,5,3,4,4,5,5,5,5,5,5,5,5,5,5,4,4,2,2,1
1,4,4,5,4,4,5,5,5,5,5,5,5,4,4,4,4,4,5,1,2,2
1,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,4,4,2,2,2
1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
1,3,3,5,5,5,4,4,4,4,5,5,4,4,5,4,4,4,4,2,2,2
1,4,4,5,5,5,4,5,5,5,5,5,4,4,5,5,5,4,4,1,1,1
1,4,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,2,1,1
1,2,4,4,4,4,4,4,3,4,5,4,5,5,4,4,4,4,4,3,4,4
1,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,2,1,2
1,5,5,5,4,3,4,3,3,5,5,5,5,5,5,5,5,5,5,1,1,1
1,4,4,4,4,5,4,5,5,5,5,5,5,4,5,5,5,4,5,2,2,2
1,4,4,4,4,4,4,5,4,5,5,4,5,5,4,4,3,4,4,1,2,2
1,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,1,1
1,3,4,3,2,3,4,4,5,4,5,4,4,3,4,4,3,4,4,3,3,3
1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
1,5,5,5,3,3,5,5,4,5,5,4,5,5,5,5,5,5,5,1,1,1
1,2,3,3,3,2,3,5,4,4,4,4,5,5,5,5,5,3,4,3,2,2
1,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,2,1,2
1,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
1,3,4,5,3,3,4,5,5,5,5,5,5,5,5,5,5,4,4,2,2,1
1,4,4,5,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,1,2,2
1,3,4,3,3,2,4,5,5,5,5,5,4,4,4,4,4,4,4,2,2,1
1,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,2,2,2
1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,2
1,4,4,4,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2
1,4,3,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,1,1,1
1,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3
1,2,4,4,4,4,4,5,4,5,5,5,4,4,4,4,4,4,4,4,3,4
1,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2
1,3,4,5,5,3,4,5,5,5,5,5,5,5,5,5,5,3,4,3,2,2
1,4,4,4,4,5,4,5,5,5,5,5,4,4,4,4,4,4,4,2,2,2
1,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
1,4,4,5,4,5,4,5,5,4,5,5,4,4,5,5,5,4,4,1,1,1
1,4,4,5,4,5,4,5,4,4,4,4,5,5,5,5,5,5,5,1,1,1
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
1,5,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,1,1,1
1,5,3,4,4,5,4,5,5,5,5,5,5,4,5,4,4,5,4,1,1,1
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2
1,4,5,4,4,4,4,4,5,5,5,5,4,3,4,4,4,4,4,1,1,1
